7.1,,,
,Tornado,"A violent, spinning column of air that touches the ground, often causing damage.","The tornado tore through the town, destroying houses and trees."
,Flood ,A large amount of water covering an area that is usually dry.,
,Blizzard,A severe snowstorm with strong winds and low visibility.,We couldn't go outside because the blizzard made it hard to see and walk.
,Cyclone,"A very strong storm, also called a typhoon or hurricane",
,Drought,"A long period with little or no rain, causing water shortages.",The farmers were worried because the drought had dried up their crops.
,"Humid, ",Having a lot of moisture in the air; warm and damp.,
,Frosty,"Very cold, with ice forming on surfaces.","The grass was frosty in the morning, sparkling under the sunlight."
,Turbulent,"Rough, unsteady, or violent, often used for air or water.",The airplane shook as it flew through turbulent weather.
,Blustery,Windy with strong gusts of wind.,The blustery wind made it difficult to walk along the beach.
,Crashing,"A loud, sudden sound, often made by waves, storms, or falling objects.",The waves were crashing against the rocks during the storm.
,Cutting,"Very sharp or harsh, often used to describe wind or cold.",
,Violent,Strong and forceful in a way that can cause damage or harm.,The violent storm knocked down trees and power lines.
,Fierce,"Strong, powerful, and sometimes frightening.",The fierce wind howled through the trees all night.
7.2,,,
,desert,"A dry, sandy area with very little rain and few plants.",Camels are often used to travel across the hot and dry desert.
,mountain range,A group or chain of mountains connected together.,The Himalayas is the highest mountain range in the world.
,coral reef,An underwater structure made of tiny sea animals called corals.,The Great Barrier Reef is the largest coral reef and is home to many colorful fish.
,rock formation,A natural shape or arrangement of rocks created over time.,The Grand Canyon has many unique rock formations formed by wind and water erosion.
,coast,The land next to the sea or ocean.,We walked along the coast and collected seashells from the sandy beach.
,tropical,"A warm and humid climate, often near the equator.",Mangoes and bananas grow well in tropical countries.
,rainforest,"A dense forest with heavy rainfall, usually in warm areas.",The Amazon Rainforest is home to many exotic animals and plants.
,lenght,How long something is from one end to the other.,"The length of the river is more than 1,000 kilometers."
,width,How wide something is from side to side.,The width of the table is perfect for our dining room.
,depth,How deep something is from the top to the bottom.,The depth of the swimming pool is 2 meters.
,height,How tall something is from the bottom to the top.,The height of the mountain makes it difficult to climb.
7.3,,,
,Kookaburra,A type of bird from Australia that makes a sound like laughing.,The kookaburra sat on a tree branch and made a funny laughing noise.
,Lung fish,A special kind of fish that can breathe air and live in water.,The lungfish can survive in mud when there is no water for a long time.
,Dinosaur Ant,A very old type of ant that has been around for millions of years.,The dinosaur ant is one of the rarest ants in the world.
,Diet,The types of food that a person or an animal eats.,A panda’s diet mostly consists of bamboo.
,Endangered,"When there are very few of an animal left, and they might disappear forever.","The giant panda is an endangered animal, so people try to protect it."
,Termite,A small insect that eats wood and lives in large groups.,The termites built a big mound in the forest.
,Extinct,When all animals of a certain kind have died and do not exist anymore.,Dinosaurs are extinct because they disappeared millions of years ago.
,Curious,Wanting to learn or know more about something.,The curious boy asked many questions about space and planets.
7.4,,,
,Snorkelling,Swimming with a mask and a tube to breathe underwater.,We saw colorful fish while snorkelling in the ocean.
,Conservation,"Protecting nature, animals, and the environment.",Conservation helps save animals from becoming extinct.
,Conservationist,A person who works to protect nature and animals.,The conservationist rescued a baby turtle and helped it return to the sea.
7.5,,,
,jealous,Feeling unhappy because someone else has something you want.,Tom was jealous when his friend got a new bicycle.
,wings,The parts of a bird or insect that help it fly.,The butterfly flapped its wings and flew away.
,get about,To move from one place to another.,Grandpa finds it hard to get about without his walking stick.
,flew away,Moved through the air and left.,The bird flew away when it heard a loud noise.
,fool (verb),To trick or deceive someone.,The magician fooled the audience with his magic tricks.
,huge,Very big.,The elephant is a huge animal.
,swiftly,Moving very quickly.,The rabbit ran swiftly across the field.
,striding,"Walking with long, confident steps.",The tall man was striding across the park.
,race,A competition to see who is the fastest.,The children had a race in the playground.
,sprinted,Ran very fast for a short time.,The athlete sprinted to the finish line and won the race.
,flapped,Moved wings up and down to fly.,The duck flapped its wings before jumping into the water.
,landed,Came down to the ground after flying.,The airplane landed safely at the airport.
,rushed at,Moved quickly toward someone or something.,"The dog rushed at the cat, but it jumped away."
,striking out,Trying to hit something or someone.,The angry boy was striking out at the air in frustration.
,puzzled,Feeling confused or not understanding something.,Lily looked puzzled when she saw the difficult math question.
,foolish,Not wise; making silly or unwise choices.,It was foolish of Max to go outside without a coat in the rain.
