8.1,Nature alert,,
,air pollution,"When the air becomes dirty from smoke, gases, or chemicals.","Cars and factories cause air pollution, making it harder to breathe."
,plastic pollution,"When plastic waste harms the environment, especially in oceans and rivers.",Plastic pollution is dangerous for sea animals like turtles and fish.
,rising sea levels,When the ocean water gets higher due to melting ice and climate change.,Many islands are at risk because of rising sea levels.
,melting ice caps,When the ice at the North and South Poles melts due to global warming.,The melting ice caps are causing polar bears to lose their homes.
,rubbish,Waste or things that are thrown away.,"We should put our rubbish in the bin, not on the ground."
,environment,"The world around us, including trees, animals, air, and water.",We must take care of the environment to keep it clean and safe.
,global warming,When the Earth gets hotter because of pollution and gases in the air.,Global warming is causing more wildfires and extreme weather.
,eco-friendly,Good for the environment and not harmful to nature.,Using a reusable water bottle is an eco-friendly choice.
,environmentalists,People who work to protect the environment.,Environmentalists plant trees and clean up beaches to help nature.
8.2,Environment Protecting our planet,,
,non-biodegradable,Something that does not break down naturally and stays in the environment for a long time.,Plastic bags are non-biodegradable and can last for hundreds of years.
,microparticle,"A tiny piece of material, often plastic, that is too small to see easily.",Fish sometimes eat microparticles of plastic in the ocean.
,medical products,"Things used for health and medicine, such as masks, gloves, and syringes.",Doctors use medical products like masks and gloves to stay safe.
,single use,Something that is used only once and then thrown away.,Plastic straws are single-use items that create a lot of waste.
,replace,To take something away and put something new in its place.,We should replace plastic bags with reusable ones to help the planet.
8.3,Rethinking our world,,
,quiz,A short test or game that asks questions to check knowledge.,We had a fun quiz in class today about animals.
,be green ,To care about and help protect the environment.,It’s important to be green and recycle plastic bottles.
,survey,A set of questions used to collect information from people.,The teacher asked us to complete a survey about our favorite books.
,Eco-challenges,Activities or tasks that help protect nature and the environment.,Our school set up weekly eco-challenges to help save energy.
8.4,A personal recount,,
,Field trip,A visit to a place outside school for learning purposes.,We went on a field trip to the science museum.
,theatre,A place where people watch plays or performances.,We watched a fantastic play at the theatre last night.
,clipboard,"A hard surface with a clip at the top, used to hold papers for writing.",The coach carried a clipboard to write down our scores.
,tiny,Very small in size.,The baby bird was so tiny that it could fit in my hand.
,duckling,A baby duck.,A mother duck led her ducklings across the pond.
,reeds,"Tall, thin plants that grow near water.",The ducks hid among the reeds by the riverbank.
,purpose,The reason why something is done or exists.,The purpose of the meeting was to plan our school festival.
8.5,The future of the present,,
,steel,A strong metal made from iron and carbon.,The bridge is made of strong steel to hold many cars.
,massive,Very big and heavy.,A massive elephant walked through the safari park.
,vast,Extremely large in size or amount.,The ocean is so vast that you cannot see the end of it.
,empty,Having nothing inside.,The classroom was empty because everyone had gone home.
,deserted,Without people; abandoned.,The old house looked deserted and spooky at night.
,greenery,Green plants and leaves.,The park was full of beautiful greenery and colorful flowers.
,remote control,A small device used to control a machine from a distance.,I used the remote control to change the TV channel.
,shadow,A dark shape made when something blocks the light.,My shadow looked long and tall in the afternoon sun.
,junk,Things that are not useful and often thrown away.,We cleaned the attic and threw away a lot of junk.
,electronic,Using electricity and small circuits to work.,My new electronic watch tells me the time and tracks my steps.
,dizzy,Feeling like everything is spinning and you might fall.,Spinning too fast made me feel dizzy.
,swirling,Moving in circles or a twisting motion.,The wind sent the autumn leaves swirling through the air.
,emotion,"A strong feeling like happiness, sadness, or anger.",She felt a strong emotion of happiness when she won the race.
